R00251	5-OXOPROLINASE-ATP-HYDROLYSING-RXN
R00253	GLUTAMINESYN-RXN
R00256	GLUTAMIN-RXN
R00257	NAD-SYNTH-GLN-RXN
R00258	ALANINE-AMINOTRANSFERASE-RXN
R00259	N-ACETYLTRANSFER-RXN
R00260	GLUTRACE-RXN
R00261	GLUTDECARBOX-RXN
R00262	METHYLASPARTATE-MUTASE-RXN
R00264	25-DIOXOVALERATE-DEHYDROGENASE-RXN
R00265	OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN
R00267	ISOCITDEH-RXN
R00268	RXN-8642
R00269	RXN-13072
R00270	RXN-7594
R00271	HOMOCITRATE-SYNTHASE-RXN
R00272	RXN-7774
R00273	OXALATE-OXIDASE-RXN
R00274	GLUTATHIONE-PEROXIDASE-RXN
R00275	SUPEROX-DISMUT-RXN
R00277	PMPOXI-RXN
R00278	PNPOXI-RXN
R00279	D-GLUTAMATE-OXIDASE-RXN
R00282	NADPH-DEHYDROGENASE-RXN
R00284	HYDROXYLAMINE-REDUCTASE-RXN
R00286	UGD-RXN
R00289	GLUC1PURIDYLTRANS-RXN
R00291	UDPGLUCEPIM-RXN
R00293	UDP-GLUCOSE-46-DEHYDRATASE-RXN
R00294	NITRIC-OXIDE-REDUCTASE-RXN
R00296	1.2.7.4-RXN
R00297	D-2-HYDROXY-ACID-DEHYDROGENASE-RXN
R00298	2-HYDROXYGLUTARATE-DEHYDROGENASE-RXN
R00299	GLUCOKIN-RXN
R00302	PYRANOSE-OXIDASE-RXN
R00303	RXN66-526
R00304	GLUCOSE-1-PHOSPHAT-RXN
R00305	RXN-11334
R00307	GLUCISOM-RXN
R00310	PROTOHEMEFERROCHELAT-RXN
R00311	HEME-OXYGENASE-DECYCLIZING-RXN
R00315	ACETATEKIN-RXN
R00318	3.11.1.2-RXN
R00319	LACTATE-2-MONOOXYGENASE-RXN
R00320	ACETATE-KINASE-PYROPHOSPHATE-RXN
R00321	RXN-14728
R00324	ACETYLPYRUVATE-HYDROLASE-RXN
R00325	CITRAMALATE-LYASE-RXN
R00327	6-ACETYLGLUCOSE-DEACETYLASE-RXN
R00328	GUANOSINE-DIPHOSPHATASE-RXN
R00329	NUCLEOSIDE-DIPHOSPHATASE-RXN
R00330	GDPKIN-RXN
R00331	NUCLEOSIDE-DIP-KIN-RXN
R00332	GUANYL-KIN-RXN
R00333	2.7.4.10-RXN
R00334	NUCLEOSIDE-PHOSPHATE-KINASE-RXN
R00335	RXN0-5462
R00336	PPGPPSYN-RXN
R00337	GDP-GLUCOSIDASE-RXN
R00338	OXALOACETASE-RXN
R00339	LTARTDEHYDRA-RXN
R00340	D--TARTRATE-DEHYDRATASE-RXN
R00341	PEPCARBOXYKIN-RXN
R00342	MALATE-DEH-RXN
R00343	MALATE-DEHYDROGENASE-NADP+-RXN
R00343	RXN-10813
R00344	PYRUVATE-CARBOXYLASE-RXN
R00345	PEPCARBOX-RXN
R00346	4.1.1.38-RXN
R00347	4.3.1.20-RXN
R00348	RXN-6562
R00350	RXN-2464
R00351	CITSYN-RXN
R00352	ATP-CITRATE-PRO-S--LYASE-RXN
R00354	RXN-7929
R00355	ASPAMINOTRANS-RXN
R00359	D-ASPARTATE-OXIDASE-RXN
R00361	MALATE-DEHYDROGENASE-ACCEPTOR-RXN
R00362	CITLY-RXN
R00363	OXALOACETATE-TAUTOMERASE-RXN
R00365	GLYCINE-DEHYDROGENASE-RXN
R00366	1.4.3.19-RXN
R00367	GLYCINE-N-METHYLTRANSFERASE-RXN
R00368	STROMBINE-DEHYDROGENASE-RXN
R00369	ALANINE--GLYOXYLATE-AMINOTRANSFERASE-RXN
R00371	AKBLIG-RXN
R00372	GLYCINE-AMINOTRANSFERASE-RXN
R00373	2.6.1.35-RXN
R00380	DNA-CYTOSINE-5--METHYLTRANSFERASE-RXN
R00383	3.1.2.18-RXN
R00383	3.1.2.19-RXN
R00383	ACYL-COA-HYDROLASE-RXN
R00384	TRANS-2-ENOYL-COA-REDUCTASE-NAD+-RXN
R00385	ACYL-COA-DEHYDROGENASE-NADP+-RXN
R00387	CIS-2-ENOYL-COA-REDUCTASE-NADPH-RXN
R00388	RXN-11026
R00389	BUTYRATE--COA-LIGASE-RXN
R00390	RXN-7904
R00391	KETOACYLCOATHIOL-RXN
R00393	ACECOATRANS-RXN
R00394	ACID--COA-LIGASE-GDP-FORMING-RXN
R00395	GLYCINE-N-ACYLTRANSFERASE-RXN
R00396	ALANINE-DEHYDROGENASE-RXN
R00397	ASPARTATE-4-DECARBOXYLASE-RXN
R00398	ALANOPINE-DEHYDROGENASE-RXN
R00399	AKPTHIOL-RXN
R00401	ALARACECAT-RXN
R00402	FUMARATE-REDUCTASE-NADH-RXN
R00405	SUCCCOASYN-RXN
R00406	RXN-8964
R00407	SUCCINYL-COA-HYDROLASE-RXN
R00409	METHYLISOCITRATE-LYASE-RXN
R00410	RXNI-2
R00411	SUCCGLUDESUCC-RXN
R00414	RXN-9987
R00416	NAG1P-URIDYLTRANS-RXN
R00418	UDP-N-ACETYLGLUCOSAMINE-4-EPIMERASE-RXN
R00420	UDPGLCNACEPIM-RXN
R00421	1.1.1.136-RXN
R00424	GTP-CYCLOHYDRO-I-RXN
R00425	GTP-CYCLOHYDRO-II-RXN
R00426	RXN-14140
R00429	GTPPYPHOSKIN-RXN
R00430	RXN-14117
R00431	4.1.1.32-RXN
R00432	SUCCINATE--COA-LIGASE-GDP-FORMING-RXN
R00434	GUANYLCYC-RXN
R00445	LYSINE-DEHYDROGENASE-RXN
R00446	RXN-8808
R00447	L-LYSINE-OXIDASE-RXN
R00448	1.14.13.59-RXN
R00449	LYSINE-2-MONOOXYGENASE-RXN
R00451	DIAMINOPIMDECARB-RXN
R00452	D-LYSOPINE-DEHYDROGENASE-RXN
R00453	LYSINE--PYRUVATE-6-AMINOTRANSFERASE-RXN
R00454	LYSACET-RXN
R00457	L-LYSINE-AMINOTRANSFERASE-RXN
R00460	LYSINE-RACEMASE-RXN
R00461	LYSINE-23-AMINOMUTASE-RXN
R00462	LYSDECARBOX-RXN
R00463	L-LYSINE-LACTAMASE-RXN
R00465	GLYOXYLATE-REDUCTASE-NADP+-RXN
R00466	GLYOXYLATE-OXIDASE-RXN
R00468	GLYOXYLATE-DEHYDROGENASE-ACYLATING-RXN
R00469	UREIDOGLYCOLATE-HYDROLASE-RXN
R00470	4OH2OXOGLUTARALDOL-RXN
R00472	MALSYN-RXN
R00473	MALYL-COA-LYASE-RXN
R00474	2-HYDROXY-3-OXOADIPATE-SYNTHASE-RXN
R00475	RXN-969
R00476	GLYCOLATEDEHYDRO-RXN
R00477	OXALOMALATE-LYASE-RXN
R00478	RXN-11769
R00479	ISOCIT-CLEAV-RXN
R00480	ASPARTATEKIN-RXN
R00481	L-ASPARTATE-OXID-RXN
R00482	6.3.1.4-RXN
R00483	ASNSYNA-RXN
R00484	UREIDOSUCCINASE-RXN
R00485	ASPARAGHYD-RXN
R00486	3.5.5.4-RXN
R00487	ASPARTATE-N-ACETYLTRANSFERASE-RXN
R00488	RXN-13680
R00489	ASPDECARBOX-RXN
R00490	ASPARTASE-RXN
R00491	ASPARTATE-RACEMASE-RXN
R00494	RXN-12618
R00497	GLUTATHIONE-SYN-RXN
R00499	S-SUCCINYLGLUTATHIONE-HYDROLASE-RXN
R00502	UTPHEXPURIDYLYLTRANS-RXN
R00503	LACTOSE-SYNTHASE-RXN
R00504	2.7.8.18-RXN
R00505	GALPMUT-RXN
R00507	PHOSPHOADENYLYLSULFATASE-RXN
R00508	R163-RXN
R00509	ADENYLYLSULFKIN-RXN
R00510	RXN-14065
R00511	RXN-14026
R00512	RXN-11832
R00513	CYTIKIN-RXN
R00514	RXN-12198
R00515	RXN0-383
R00517	CYTIDINEKIN-RXN
R00518	FORMATE-KINASE-RXN
R00519	1.2.1.2-RXN
R00521	FORMYL-COA-HYDROLASE-RXN
R00522	OXALATE-DECARBOXYLASE-RXN
R00524	FORMAMIDASE-RXN
R00525	N-FORMYLGLUTAMATE-DEFORMYLASE-RXN
R00526	FORMYLASPARTATE-DEFORMYLASE-RXN
R00527	S-FORMYLGLUTATHIONE-HYDROLASE-RXN
R00528	SULFITE-DEHYDROGENASE-RXN
R00529	SULFATE-ADENYLYLTRANS-RXN
R00530	SULFATE-ADENYLYLTRANSFERASE-ADP-RXN
R00531	ADENYLYLSULFATASE-RXN
R00532	SERINE-SULFATE-AMMONIA-LYASE-RXN
R00533	SULFITE-OXIDASE-RXN
R00534	GLYCOSULFATASE-RXN
R00538	ALDHDEHYDROG-RXN
R00539	ACYLPHOSPHATASE-RXN
R00540	3.5.5.1-RXN
R00542	5-ACYLPHOSPHOADENOSINE-HYDROLASE-RXN
R00543	ACYLPYRUVATE-HYDROLASE-RXN
R00544	1.2.99.7-RXN
R00544	CARBOXYLATE-REDUCTASE-RXN
R00545	ACYL-LYSINE-DEACYLASE-RXN
R00546	ASPARTOACYLASE-RXN
