K01457	R00005
K14541	R00005
K01652	R00006
K01653	R00006
K11258	R00006
K10218	R00008
K03781	R00009
K01194	R00010
K22934	R00010
K01608	R00013
K00161	R00014
K00162	R00014
K00163	R00014
K01568	R00014
K01652	R00014
K01653	R00014
K11258	R00014
K00808	R00018
K00532	R00019
K00533	R00019
K00534	R00019
K06441	R00019
K14126	R00019
K14127	R00019
K14128	R00019
K18016	R00019
K18017	R00019
K18023	R00019
K00284	R00021
K01207	R00022
K12373	R00022
K01601	R00024
K01602	R00024
K00459	R00025
K01188	R00026
K05349	R00026
K05350	R00026
K01187	R00028
K12047	R00028
K12316	R00028
K12317	R00028
K00422	R00031
K00515	R00032
K01698	R00036
K00422	R00045
K07518	R00048
K01513	R00056
K01453	R00059
K00793	R00066
K00423	R00068
K00509	R00073
K11987	R00073
K20204	R00074
K20219	R00074
K05953	R00075
K03594	R00078
K13624	R00078
K14735	R00078
K19054	R00078
K22336	R00078
K22552	R00078
K02274	R00081
K02275	R00081
K02276	R00081
K01749	R00084
K01509	R00086
K01510	R00086
K06928	R00086
K14641	R00086
K14642	R00086
K01513	R00087
K04765	R00087
K01768	R00089
K05851	R00089
K05873	R00089
K08041	R00089
K08042	R00089
K08043	R00089
K08044	R00089
K08045	R00089
K08046	R00089
K08047	R00089
K08048	R00089
K08049	R00089
K11029	R00089
K11265	R00089
K22944	R00089
K00264	R00093
K00383	R00094
K08232	R00095
K00326	R00100
K01242	R00102
K18152	R00102
K18153	R00102
K19980	R00102
K01513	R00103
K03426	R00103
K04765	R00103
K26956	R00103
K00858	R00104
K13240	R00111
K13241	R00111
K13242	R00111
K13427	R00111
K00322	R00112
K00265	R00114
K00266	R00114
K00383	R00115
K01242	R00119
K18152	R00119
K01510	R00122
K14641	R00122
K14642	R00122
K00940	R00124
K18533	R00124
K01525	R00125
K00988	R00126
K19710	R00126
K00939	R00127
K18532	R00127
K18533	R00127
K00859	R00130
K02318	R00130
K01427	R00131
K01428	R00131
K01429	R00131
K01430	R00131
K14048	R00131
K01672	R00132
K01673	R00132
K01674	R00132
K05299	R00134
K15022	R00134
K01259	R00135
K11142	R00135
K00952	R00137
K00969	R00137
K06210	R00137
K06211	R00137
K13522	R00137
K19785	R00137
K00940	R00139
K19797	R00140
K05601	R00143
K15864	R00143
K10944	R00148
K10945	R00148
K10946	R00148
K01948	R00149
K00926	R00150
K18282	R00152
K01510	R00155
K01511	R00155
K12304	R00155
K12305	R00155
K14641	R00155
K14642	R00155
K00940	R00156
K18533	R00156
K00944	R00157
K09903	R00158
K13800	R00158
K13809	R00158
K01510	R00159
K14641	R00159
K14642	R00159
K01513	R00160
K18453	R00160
K00953	R00161
K11753	R00161
K14656	R00161
K22949	R00161
K07758	R00173
K13248	R00173
K00868	R00174
K00789	R00177
K01611	R00178
K01762	R00179
K20772	R00179
K01490	R00181
K01241	R00182
K06966	R00182
K01081	R00183
K02566	R00183
K03787	R00183
K08693	R00183
K11751	R00183
K19970	R00183
K01518	R00184
K18445	R00184
K26955	R00184
K00856	R00185
K01522	R00187
K18424	R00187
K01082	R00188
K06881	R00188
K07053	R00188
K15422	R00188
K15759	R00188
K01916	R00189
K00759	R00190
K01120	R00191
K03651	R00191
K13293	R00191
K13294	R00191
K13296	R00191
K13298	R00191
K13755	R00191
K18283	R00191
K18436	R00191
K18437	R00191
K18438	R00191
K19021	R00191
K01251	R00192
K12960	R00193
K01243	R00194
K18284	R00194
K00101	R00196
K00102	R00197
K01007	R00199
K00873	R00200
K12406	R00200
K07248	R00203
K01006	R00206
K00158	R00207
K00161	R00209
K00162	R00209
K00163	R00209
K00382	R00209
K00627	R00209
K00656	R00212
K00027	R00214
K00028	R00214
K07246	R00215
K00029	R00216
K01003	R00217
K01752	R00220
K01754	R00220
K17989	R00220
K01753	R00221
K20498	R00221
K01652	R00226
K01653	R00226
K11258	R00226
K01067	R00227
K00132	R00228
K04021	R00228
K04072	R00228
K04073	R00228
K18366	R00228
K01905	R00229
K22224	R00229
K24012	R00229
K00625	R00230
K04020	R00230
K13788	R00230
K15024	R00230
K01578	R00233
K01895	R00235
K01913	R00235
K01895	R00236
K01913	R00236
K08691	R00237
K18292	R00237
K00626	R00238
K00632	R00238
K07508	R00238
K07509	R00238
K07513	R00238
K00931	R00239
K12657	R00239
K00260	R00243
K00261	R00243
K15371	R00243
K00294	R00245
K13821	R00245
K00261	R00248
K00262	R00248
K00265	R00248
K00266	R00248
K01469	R00251
K07160	R00251
K23123	R00251
K23124	R00251
K01915	R00253
K01425	R00256
K01954	R00256
K01955	R00256
K01956	R00256
K05597	R00256
K11540	R00256
K11541	R00256
K23265	R00256
K01950	R00257
K00814	R00258
K14260	R00258
K14272	R00258
K00618	R00259
K00619	R00259
K00620	R00259
K11067	R00259
K14681	R00259
K14682	R00259
K22476	R00259
K22477	R00259
K22478	R00259
K01776	R00260
K01580	R00261
K01846	R00262
K19268	R00262
K00128	R00264
K13877	R00264
K19588	R00264
K00031	R00267
K00031	R00268
K08590	R00269
K13566	R00269
K01655	R00271
K02594	R00271
K10977	R00271
K00432	R00274
K00275	R00277
K23998	R00277
K00275	R00278
K23998	R00278
K00354	R00282
K00012	R00286
